@relation weka.datagenerators.clusterers.BIRCHCluster-S_1_-a_3_-k_5_-N_20000..20000_-R_5000..5000_-G_-D_4.0_-O_-P_0.1

@attribute X0 numeric
@attribute X1 numeric
@attribute X2 numeric

@data

16046.271794,14136.947123,13345.544026
20209.49981,18556.0479,21017.206703
21574.13369,16620.694664,18815.078058
16495.400087,22161.452007,23384.160127
19329.536299,20031.337517,21507.905046
17787.581578,15895.709017,30008.150098
21256.770544,15189.951927,21608.771185
15888.306746,15386.362031,20578.910507
18240.042666,15288.087962,18651.551175
14707.90935,23650.229355,26131.455699
17069.190648,21175.502506,12136.307073
17700.798825,13158.428217,17665.024397
20002.624812,20316.699262,20834.123197
22619.868118,29167.100539,9769.123136
17675.115869,13735.075604,18287.369299
18070.162974,26467.736698,27328.630128
21457.759655,24800.620559,22301.332183
16584.376434,17439.930699,22902.94809
21487.222175,21647.379436,16309.326477
21506.273188,19119.584748,21146.736653
23384.361901,23651.25125,20022.192394
21138.739483,17236.722364,21678.068479
20382.469054,19555.732699,28387.854354
18699.152472,17109.419562,20846.020876
18621.130737,20267.192236,23364.669474
15886.180459,21131.889094,23805.929806
14016.096666,24037.628472,18672.773693
22403.120535,25518.796618,18265.45091
17273.342165,14978.695125,21174.037881
21975.654164,17921.031958,19807.274846
17666.618065,20459.757663,22775.544129
26682.860503,21221.012998,19239.973888
16423.901202,22941.203992,14270.267348
23789.775824,17200.825971,12522.869376
19482.833276,15384.154088,23423.698029
24190.562529,20404.777189,20713.691982
23891.467533,26234.2545,18734.109686
20892.450904,18726.537471,22504.57383
20679.693682,22235.530108,17385.295272
22195.191145,18101.529932,24482.879917
21167.543285,17861.255974,15624.074038
23987.056337,15030.183799,13281.224773
24734.493607,17383.881381,23950.002384
17344.287744,26276.506748,9476.932892
18111.674426,26511.205189,22573.114139
23264.615033,17482.08721,23343.223578
14512.276053,18846.924016,18240.972417
18736.898049,26629.358961,23067.839659
21265.688318,14352.936635,21380.442059
20734.926007,22733.427324,17456.7061
15489.618349,19232.187471,24113.860691
21271.68267,23477.204854,15043.507768
17326.727106,16900.468101,14843.793856
16631.521727,21310.705568,21127.01267
17549.365033,14829.770048,19529.044627
20170.99367,17538.205207,20631.246628
23404.404617,16365.511626,17525.833837
21231.41723,17634.120443,15740.103708
15867.109237,21176.594858,24879.175715
20235.057413,19453.913542,18383.976626
23322.698804,25679.975504,24140.290912
13560.530423,21199.171725,20501.269683
14736.724362,18941.318873,23922.756275
15455.382625,21243.430389,18643.748094
18241.558257,13196.105032,29609.288101
24304.379708,16187.600369,24048.302492
19559.654816,24685.106975,20827.976237
19735.218471,20369.164429,19498.246647
22579.036023,22004.247052,19079.203511
16993.226852,22322.460584,17457.669541
24683.808082,22585.922898,18343.392335
21938.810259,15359.638432,22670.247075
22247.436743,23132.850409,19629.997011
16355.663424,20261.302868,25997.983558
17657.90325,20316.281115,18936.631994
23079.132675,15717.117177,22245.965706
18778.30772,22275.010294,21426.543509
26492.305838,16222.831109,18180.621141
23286.692975,22303.456707,19448.066205
24937.192604,17019.101514,19854.531233
10072.398122,15989.196385,24005.143895
17987.240717,19318.568896,16292.853076
27294.026962,20761.431002,20381.362151
22921.775467,18543.179568,16012.36517
16080.92033,19768.871339,23514.002598
19180.149888,21731.576578,27874.968608
17692.022811,18272.241803,22867.54235
14622.884059,19700.731203,20194.186176
14147.694516,24290.591946,15024.495039
24936.347787,22815.953778,21153.451533
20680.682019,17946.696307,27637.245226
23880.797879,20226.331503,23061.512759
18718.53825,18687.803562,22021.218268
22726.418796,27629.330506,15134.989618
11480.301821,16612.664079,23909.912257
15654.967463,22049.943342,21170.416042
